[2023-03-08 20:22:06,377][demo3.py][line:280][INFO] Epoch:[9/14]	 step:[50] 	 loss=0.73995	 accu=0.771 	 auc=0.871
[2023-03-08 20:22:14,172][demo3.py][line:280][INFO] Epoch:[10/0]	 step:[50] 	 loss=0.71961	 accu=0.805 	 auc=0.890
[2023-03-08 20:22:14,298][demo3.py][line:280][INFO] Epoch:[10/1]	 step:[50] 	 loss=0.72834	 accu=0.791 	 auc=0.886
[2023-03-08 20:22:14,381][demo3.py][line:280][INFO] Epoch:[10/2]	 step:[50] 	 loss=0.72614	 accu=0.792 	 auc=0.884
[2023-03-08 20:22:14,483][demo3.py][line:280][INFO] Epoch:[10/3]	 step:[50] 	 loss=0.73103	 accu=0.785 	 auc=0.873
[2023-03-08 20:22:14,577][demo3.py][line:280][INFO] Epoch:[10/4]	 step:[50] 	 loss=0.72352	 accu=0.799 	 auc=0.878
[2023-03-08 20:22:14,698][demo3.py][line:280][INFO] Epoch:[10/5]	 step:[50] 	 loss=0.72335	 accu=0.798 	 auc=0.881
[2023-03-08 20:22:14,785][demo3.py][line:280][INFO] Epoch:[10/6]	 step:[50] 	 loss=0.72999	 accu=0.786 	 auc=0.874
[2023-03-08 20:22:14,887][demo3.py][line:280][INFO] Epoch:[10/7]	 step:[50] 	 loss=0.72540	 accu=0.792 	 auc=0.875
[2023-03-08 20:22:14,979][demo3.py][line:280][INFO] Epoch:[10/8]	 step:[50] 	 loss=0.71696	 accu=0.808 	 auc=0.890
[2023-03-08 20:22:15,072][demo3.py][line:280][INFO] Epoch:[10/9]	 step:[50] 	 loss=0.71757	 accu=0.808 	 auc=0.892
[2023-03-08 20:22:15,171][demo3.py][line:280][INFO] Epoch:[10/10]	 step:[50] 	 loss=0.72027	 accu=0.801 	 auc=0.878
[2023-03-08 20:22:15,198][demo3.py][line:280][INFO] Epoch:[10/11]	 step:[50] 	 loss=0.72308	 accu=0.796 	 auc=0.876
[2023-03-08 20:22:15,288][demo3.py][line:280][INFO] Epoch:[10/12]	 step:[50] 	 loss=0.72405	 accu=0.794 	 auc=0.872
[2023-03-08 20:22:15,394][demo3.py][line:280][INFO] Epoch:[10/13]	 step:[50] 	 loss=0.72109	 accu=0.800 	 auc=0.885
[2023-03-08 20:22:15,568][demo3.py][line:280][INFO] Epoch:[10/14]	 step:[50] 	 loss=0.72992	 accu=0.787 	 auc=0.871
[2023-03-08 20:22:19,772][demo3.py][line:280][INFO] Epoch:[11/0]	 step:[50] 	 loss=0.71996	 accu=0.801 	 auc=0.888
[2023-03-08 20:22:19,879][demo3.py][line:280][INFO] Epoch:[11/1]	 step:[50] 	 loss=0.72217	 accu=0.799 	 auc=0.872
[2023-03-08 20:22:19,981][demo3.py][line:280][INFO] Epoch:[11/2]	 step:[50] 	 loss=0.72114	 accu=0.803 	 auc=0.881
[2023-03-08 20:22:20,172][demo3.py][line:280][INFO] Epoch:[11/3]	 step:[50] 	 loss=0.72426	 accu=0.793 	 auc=0.882
[2023-03-08 20:22:20,192][demo3.py][line:280][INFO] Epoch:[11/4]	 step:[50] 	 loss=0.71059	 accu=0.817 	 auc=0.886
[2023-03-08 20:22:20,285][demo3.py][line:280][INFO] Epoch:[11/5]	 step:[50] 	 loss=0.72397	 accu=0.796 	 auc=0.881
[2023-03-08 20:22:20,380][demo3.py][line:280][INFO] Epoch:[11/6]	 step:[50] 	 loss=0.72889	 accu=0.788 	 auc=0.874
[2023-03-08 20:22:20,487][demo3.py][line:280][INFO] Epoch:[11/7]	 step:[50] 	 loss=0.71118	 accu=0.814 	 auc=0.892
[2023-03-08 20:22:20,574][demo3.py][line:280][INFO] Epoch:[11/8]	 step:[50] 	 loss=0.71734	 accu=0.805 	 auc=0.874
[2023-03-08 20:22:20,668][demo3.py][line:280][INFO] Epoch:[11/9]	 step:[50] 	 loss=0.72665	 accu=0.791 	 auc=0.861
[2023-03-08 20:22:20,693][demo3.py][line:280][INFO] Epoch:[11/10]	 step:[50] 	 loss=0.71954	 accu=0.806 	 auc=0.878
[2023-03-08 20:22:20,787][demo3.py][line:280][INFO] Epoch:[11/11]	 step:[50] 	 loss=0.72204	 accu=0.798 	 auc=0.883
[2023-03-08 20:22:20,887][demo3.py][line:280][INFO] Epoch:[11/12]	 step:[50] 	 loss=0.71553	 accu=0.809 	 auc=0.885
[2023-03-08 20:22:20,986][demo3.py][line:280][INFO] Epoch:[11/13]	 step:[50] 	 loss=0.71388	 accu=0.811 	 auc=0.881
[2023-03-08 20:22:21,088][demo3.py][line:280][INFO] Epoch:[11/14]	 step:[50] 	 loss=0.71535	 accu=0.810 	 auc=0.886
[2023-03-08 20:22:29,923][demo3.py][line:287][INFO] 测试 Epoch:[11/50]	 loss=0.71691	 accu=0.808 auc=0.867
[2023-03-08 20:22:38,788][demo3.py][line:280][INFO] Epoch:[12/0]	 step:[50] 	 loss=0.72254	 accu=0.794 	 auc=0.880
[2023-03-08 20:22:38,882][demo3.py][line:280][INFO] Epoch:[12/1]	 step:[50] 	 loss=0.71048	 accu=0.817 	 auc=0.889
